===============================================================================
Id,MA,len,datetime,open,high,low,close,volume,openinterest,signal,StrategyClass,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
26,MA,26,2022-03-22 00:00:00,8912.0,9099.0,8882.0,9045.0,640847.0,,0.5048451542226708,StrategyClass,26,738236.0,Broker,26,-18200.800000000017,-18200.70000000002,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,MA,27,2022-03-23 00:00:00,9050.0,9050.0,8902.0,9013.0,602490.0,,0.5015035253236402,StrategyClass,27,738237.0,Broker,27,-27800.800000000017,-27800.70000000002,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,MA,28,2022-03-24 00:00:00,9060.0,9185.0,8984.0,9048.0,789542.0,,0.5060454203349369,StrategyClass,28,738238.0,Broker,28,-17300.800000000017,-17300.70000000002,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,MA,29,2022-03-25 00:00:00,9060.0,9166.0,9027.0,9152.0,666270.0,,0.5122449008461456,StrategyClass,29,738239.0,Broker,29,13899.199999999983,13899.299999999983,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,MA,30,2022-03-28 00:00:00,9105.0,9365.0,9101.0,9248.0,878821.0,,0.496830909560956,StrategyClass,30,738242.0,Broker,30,42699.19999999998,42699.29999999998,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,MA,31,2022-03-29 00:00:00,9248.0,9349.0,9205.0,9291.0,810534.0,,0.4943765084343144,StrategyClass,31,738243.0,Broker,31,55599.19999999998,55599.29999999998,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,MA,32,2022-03-30 00:00:00,9166.0,9435.0,9110.0,9319.0,944051.0,,0.49892766445577363,StrategyClass,32,738244.0,Broker,32,63999.19999999998,63999.29999999998,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,MA,33,2022-03-31 00:00:00,9319.0,9372.0,9180.0,9242.0,787013.0,,0.48825893732633097,StrategyClass,33,738245.0,Broker,33,40899.19999999998,40899.29999999998,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,MA,34,2022-04-01 00:00:00,9240.0,9460.0,9193.0,9454.0,893880.0,,0.4905476516983708,StrategyClass,34,738246.0,Broker,34,40299.19999999998,40299.19999999998,BuySell,34,,9601.9,Trades - Net Profit/Loss,34,19499.8,
35,MA,35,2022-04-06 00:00:00,9452.0,9529.0,9252.0,9282.0,591046.0,,0.5040617506572621,StrategyClass,35,738251.0,Broker,35,91298.99999999999,91299.09999999998,BuySell,35,,9671.935,Trades - Net Profit/Loss,35,,
36,MA,36,2022-04-07 00:00:00,9300.0,9416.0,9230.0,9252.0,849234.0,,0.49430074143596997,StrategyClass,36,738252.0,Broker,36,100298.99999999999,100299.09999999998,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,MA,37,2022-04-08 00:00:00,9252.0,9256.0,9084.0,9166.0,686916.0,,0.4832371066597662,StrategyClass,37,738253.0,Broker,37,126098.99999999999,126099.09999999999,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,MA,38,2022-04-11 00:00:00,9166.0,9188.0,8990.0,9064.0,536530.0,,0.47449491755728823,StrategyClass,38,738256.0,Broker,38,156699.0,156699.1,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,MA,39,2022-04-12 00:00:00,9075.0,9253.0,9026.0,9242.0,502850.0,,0.49363450205977655,StrategyClass,39,738257.0,Broker,39,103299.0,103299.1,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,MA,40,2022-04-13 00:00:00,9246.0,9250.0,9076.0,9117.0,531532.0,,0.47552736305324106,StrategyClass,40,738258.0,Broker,40,102099.0,102099.0,BuySell,40,8939.86,,Trades - Net Profit/Loss,40,61799.8,
41,MA,41,2022-04-14 00:00:00,9121.0,9208.0,9121.0,9141.0,418646.0,,0.480859462413517,StrategyClass,41,738259.0,Broker,41,96098.79999999999,96098.9,BuySell,41,,9346.119999999999,Trades - Net Profit/Loss,41,,
42,MA,42,2022-04-15 00:00:00,9116.0,9174.0,9036.0,9073.0,430564.0,,0.47167927008099647,StrategyClass,42,738260.0,Broker,42,116498.79999999999,116498.9,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,MA,43,2022-04-18 00:00:00,9050.0,9250.0,8938.0,9200.0,552935.0,,0.49598697913954104,StrategyClass,43,738263.0,Broker,43,78398.79999999999,78398.9,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,MA,44,2022-04-19 00:00:00,9204.0,9265.0,9034.0,9081.0,480532.0,,0.47086673915963084,StrategyClass,44,738264.0,Broker,44,77198.79999999999,77198.79999999999,BuySell,44,8898.49,,Trades - Net Profit/Loss,44,,-24900.2
45,MA,45,2022-04-20 00:00:00,9050.0,9271.0,9050.0,9199.0,423027.0,,0.493061701062432,StrategyClass,45,738265.0,Broker,45,32498.599999999977,32498.699999999975,BuySell,45,,9410.064999999999,Trades - Net Profit/Loss,45,,
46,MA,46,2022-04-21 00:00:00,9199.0,9199.0,9086.0,9092.0,299598.0,,0.4633822873074614,StrategyClass,46,738266.0,Broker,46,32498.599999999977,32498.599999999977,BuySell,46,8949.71,,Trades - Net Profit/Loss,46,,-44700.2
47,MA,47,2022-04-22 00:00:00,8988.0,9009.0,8813.0,8815.0,614558.0,,0.4555455333681533,StrategyClass,47,738267.0,Broker,47,84398.39999999998,84398.49999999997,BuySell,47,,9144.134999999998,Trades - Net Profit/Loss,47,,
48,MA,48,2022-04-25 00:00:00,8828.0,8875.0,8489.0,8500.0,739185.0,,0.4216136704168688,StrategyClass,48,738270.0,Broker,48,178898.39999999997,178898.49999999997,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,MA,49,2022-04-26 00:00:00,8499.0,8672.0,8462.0,8562.0,644866.0,,0.4469181310920281,StrategyClass,49,738271.0,Broker,49,160298.39999999997,160298.49999999997,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,MA,50,2022-04-27 00:00:00,8585.0,8690.0,8567.0,8671.0,624845.0,,0.4779372857855031,StrategyClass,50,738272.0,Broker,50,153398.39999999997,153398.39999999997,BuySell,50,8438.494999999999,,Trades - Net Profit/Loss,50,120899.8,
51,MA,51,2022-04-28 00:00:00,8671.0,8671.0,8536.0,8628.0,578687.0,,0.47697958468509216,StrategyClass,51,738273.0,Broker,51,166298.19999999995,166298.29999999996,BuySell,51,,8801.064999999999,Trades - Net Profit/Loss,51,,
52,MA,52,2022-04-29 00:00:00,8610.0,8663.0,8530.0,8615.0,663853.0,,0.46063053093763345,StrategyClass,52,738274.0,Broker,52,170198.19999999995,170198.29999999996,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,MA,53,2022-05-05 00:00:00,8650.0,8748.0,8573.0,8711.0,449780.0,,0.49133784809687703,StrategyClass,53,738280.0,Broker,53,141398.19999999995,141398.29999999996,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,MA,54,2022-05-06 00:00:00,8745.0,8793.0,8675.0,8683.0,577011.0,,0.482266496712386,StrategyClass,54,738281.0,Broker,54,131198.19999999995,131198.19999999995,BuySell,54,8544.875,,Trades - Net Profit/Loss,54,,-22200.2
55,MA,55,2022-05-09 00:00:00,8687.0,8730.0,8559.0,8584.0,674880.0,,0.46028887624140497,StrategyClass,55,738284.0,Broker,55,162097.99999999994,162098.09999999995,BuySell,55,,8860.949999999999,Trades - Net Profit/Loss,55,,
56,MA,56,2022-05-10 00:00:00,8550.0,8586.0,8402.0,8495.0,710669.0,,0.43928451969664706,StrategyClass,56,738285.0,Broker,56,188797.99999999994,188798.09999999995,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,MA,57,2022-05-11 00:00:00,8512.0,8678.0,8477.0,8645.0,650138.0,,0.4774924289269572,StrategyClass,57,738286.0,Broker,57,143797.99999999994,143798.09999999995,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,MA,58,2022-05-12 00:00:00,8623.0,8686.0,8552.0,8601.0,558051.0,,0.4679821184728789,StrategyClass,58,738287.0,Broker,58,150397.99999999994,150397.99999999994,BuySell,58,8423.72,,Trades - Net Profit/Loss,58,19199.8,
59,MA,59,2022-05-13 00:00:00,8598.0,8680.0,8579.0,8638.0,516005.0,,0.4757466413581168,StrategyClass,59,738288.0,Broker,59,138397.79999999993,138397.89999999994,BuySell,59,,8810.199999999999,Trades - Net Profit/Loss,59,,
60,MA,60,2022-05-16 00:00:00,8660.0,8733.0,8605.0,8673.0,574551.0,,0.4848229542456833,StrategyClass,60,738291.0,Broker,60,127897.79999999993,127897.89999999994,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,MA,61,2022-05-17 00:00:00,8689.0,8696.0,8605.0,8611.0,630408.0,,0.48354170515945016,StrategyClass,61,738292.0,Broker,61,123097.79999999993,123097.79999999993,BuySell,61,8475.925,,Trades - Net Profit/Loss,61,,-27300.2
62,MA,62,2022-05-18 00:00:00,8611.0,8630.0,8455.0,8463.0,619098.0,,0.4404809022939973,StrategyClass,62,738293.0,Broker,62,167497.59999999992,167497.69999999992,BuySell,62,,8759.449999999999,Trades - Net Profit/Loss,62,,
63,MA,63,2022-05-19 00:00:00,8463.0,8518.0,8432.0,8501.0,572656.0,,0.44853611415089295,StrategyClass,63,738294.0,Broker,63,156097.59999999992,156097.69999999992,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,MA,64,2022-05-20 00:00:00,8473.0,8547.0,8413.0,8435.0,672745.0,,0.44125037070879214,StrategyClass,64,738295.0,Broker,64,175897.59999999992,175897.69999999992,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,MA,65,2022-05-23 00:00:00,8450.0,8519.0,8350.0,8380.0,661659.0,,0.4329093539522586,StrategyClass,65,738298.0,Broker,65,192397.59999999992,192397.69999999992,BuySell,65,,,Trades - Net Profit/Loss,65,,
